TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,LOGICAL_NAME,TABLE_TYPE,DESCRIPTION,TAG
172.16.0.13/cobol_analysis_db,public,logs,id,,1,,NO,serial,1,
172.16.0.13/cobol_analysis_db,public,logs,file_name,,2,,YES,character varying(255),,
172.16.0.13/cobol_analysis_db,public,logs,log_content,,3,,YES,text,,
172.16.0.13/cobol_analysis_db,public,logs,start_time,,4,,YES,timestamp(6) without time zone,,
172.16.0.13/cobol_analysis_db,public,logs,end_time,,5,,YES,timestamp(6) without time zone,,
172.16.0.13/cobol_analysis_db,public,logs,created_at,,6,CURRENT_TIMESTAMP,YES,timestamp(6) with time zone,,
172.16.0.13/cobol_analysis_db,public,metadata,id,,1,,NO,serial,1,
172.16.0.13/cobol_analysis_db,public,metadata,file_name,,2,,YES,character varying(255),,
172.16.0.13/cobol_analysis_db,public,metadata,file_size,,3,,YES,bigint,,
172.16.0.13/cobol_analysis_db,public,metadata,line_count,,4,,YES,integer,,
172.16.0.13/cobol_analysis_db,public,metadata,division_count,,5,,YES,jsonb,,
172.16.0.13/cobol_analysis_db,public,metadata,procedure_count,,6,,YES,integer,,
172.16.0.13/cobol_analysis_db,public,metadata,variable_count,,7,,YES,integer,,
172.16.0.13/cobol_analysis_db,public,metadata,comment_line_count,,8,,YES,integer,,
172.16.0.13/cobol_analysis_db,public,metadata,last_modified,,9,,YES,timestamp(6) without time zone,,
172.16.0.13/cobol_analysis_db,public,metadata,processing_duration,,10,,YES,interval,,
172.16.0.13/cobol_analysis_db,public,metadata,start_time,,11,,YES,timestamp(6) without time zone,,
172.16.0.13/cobol_analysis_db,public,metadata,end_time,,12,,YES,timestamp(6) without time zone,,
172.16.0.13/cobol_analysis_db,public,metadata,additional_info,,13,,YES,jsonb,,
172.16.0.13/cobol_analysis_db,public,single_analysis_master,analysis_id,,1,,NO,serial,1,
172.16.0.13/cobol_analysis_db,public,single_analysis_master,analysis_type,,2,,NO,character varying(50),,
172.16.0.13/cobol_analysis_db,public,single_analysis_master,process_type,,3,,NO,character varying(50),,
172.16.0.13/cobol_analysis_db,public,single_analysis_master,parameter_name,,4,,NO,character varying(100),,
172.16.0.13/cobol_analysis_db,public,single_analysis_master,parameter_value,,5,,YES,text,,
172.16.0.13/cobol_analysis_db,public,single_analysis_master,data_type,,6,,NO,character varying(20),,
172.16.0.13/cobol_analysis_db,public,single_analysis_master,default_value,,7,,YES,text,,
172.16.0.13/cobol_analysis_db,public,single_analysis_master,is_required,,8,false,YES,boolean,,
172.16.0.13/cobol_analysis_db,public,single_analysis_master,validation_rule,,9,,YES,text,,
172.16.0.13/cobol_analysis_db,public,single_analysis_master,description,,10,,YES,text,,
172.16.0.13/cobol_analysis_db,public,single_analysis_master,is_active,,11,true,YES,boolean,,
172.16.0.13/cobol_analysis_db,public,single_analysis_master,created_at,,12,CURRENT_TIMESTAMP,YES,timestamp(6) with time zone,,
172.16.0.13/cobol_analysis_db,public,single_analysis_master,updated_at,,13,CURRENT_TIMESTAMP,YES,timestamp(6) with time zone,,
172.16.0.13/cobol_analysis_db,public,summary_analysis_master,summary_id,,1,,NO,serial,1,
172.16.0.13/cobol_analysis_db,public,summary_analysis_master,analysis_type,,2,,NO,character varying(50),,
172.16.0.13/cobol_analysis_db,public,summary_analysis_master,process_type,,3,,NO,character varying(50),,
172.16.0.13/cobol_analysis_db,public,summary_analysis_master,parameter_name,,4,,NO,character varying(100),,
172.16.0.13/cobol_analysis_db,public,summary_analysis_master,parameter_value,,5,,YES,text,,
172.16.0.13/cobol_analysis_db,public,summary_analysis_master,data_type,,6,,NO,character varying(20),,
172.16.0.13/cobol_analysis_db,public,summary_analysis_master,default_value,,7,,YES,text,,
172.16.0.13/cobol_analysis_db,public,summary_analysis_master,is_required,,8,false,YES,boolean,,
172.16.0.13/cobol_analysis_db,public,summary_analysis_master,validation_rule,,9,,YES,text,,
172.16.0.13/cobol_analysis_db,public,summary_analysis_master,description,,10,,YES,text,,
172.16.0.13/cobol_analysis_db,public,summary_analysis_master,is_active,,11,true,YES,boolean,,
172.16.0.13/cobol_analysis_db,public,summary_analysis_master,created_at,,12,CURRENT_TIMESTAMP,YES,timestamp(6) with time zone,,
172.16.0.13/cobol_analysis_db,public,summary_analysis_master,updated_at,,13,CURRENT_TIMESTAMP,YES,timestamp(6) with time zone,,

TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,INDEX_NAME,COLUMNS,IS_PRIMARY_KEY,UNIQUE,CREATE_OPTION
172.16.0.13/cobol_analysis_db,public,analysis_logs,analysis_logs_pkey,log_id,YES,YES,
172.16.0.13/cobol_analysis_db,public,analysis_logs,idx_analysis_logs_level,log_level,NO,NO,
172.16.0.13/cobol_analysis_db,public,analysis_logs,idx_analysis_logs_task,task_id,NO,NO,
172.16.0.13/cobol_analysis_db,public,analysis_results,analysis_results_pkey,result_id,YES,YES,
172.16.0.13/cobol_analysis_db,public,analysis_results,idx_analysis_results_task,task_id,NO,NO,
172.16.0.13/cobol_analysis_db,public,analysis_results,idx_analysis_results_type,result_type,NO,NO,
172.16.0.13/cobol_analysis_db,public,analysis_sources,analysis_sources_pkey,source_id,YES,YES,
172.16.0.13/cobol_analysis_db,public,analysis_sources,idx_analysis_sources_task,task_id,NO,NO,
172.16.0.13/cobol_analysis_db,public,analysis_tasks,analysis_tasks_pkey,task_id,YES,YES,
172.16.0.13/cobol_analysis_db,public,analysis_tasks,idx_analysis_tasks_status,status,NO,NO,
172.16.0.13/cobol_analysis_db,public,analysis_tasks,idx_analysis_tasks_type,task_type,NO,NO,
172.16.0.13/cobol_analysis_db,public,benchmark_master,benchmark_master_pkey,benchmark_id,YES,YES,
172.16.0.13/cobol_analysis_db,public,benchmark_master,benchmark_master_category_sub_category_metric_name_key,"category,sub_category,metric_name",NO,Constraint,
172.16.0.13/cobol_analysis_db,public,dashboard_master,dashboard_master_pkey,dashboard_id,YES,YES,
172.16.0.13/cobol_analysis_db,public,dashboard_master,dashboard_master_dashboard_type_component_type_parameter_na_key,"dashboard_type,component_type,parameter_name",NO,Constraint,
172.16.0.13/cobol_analysis_db,public,document_master,document_master_pkey,document_id,YES,YES,
172.16.0.13/cobol_analysis_db,public,document_master,document_master_document_type_section_type_parameter_name_key,"document_type,section_type,parameter_name",NO,Constraint,
172.16.0.13/cobol_analysis_db,public,environment_master,environment_master_pkey,environment_id,YES,YES,
172.16.0.13/cobol_analysis_db,public,environment_master,environment_master_category_name_key,"category,name",NO,Constraint,
172.16.0.13/cobol_analysis_db,public,logs,logs_pkey,id,YES,YES,
172.16.0.13/cobol_analysis_db,public,logs,idx_logs_file_name,file_name,NO,NO,
172.16.0.13/cobol_analysis_db,public,logs,idx_logs_start_time,start_time,NO,NO,
172.16.0.13/cobol_analysis_db,public,metadata,metadata_pkey,id,YES,YES,
172.16.0.13/cobol_analysis_db,public,metadata,idx_metadata_file_name,file_name,NO,NO,
172.16.0.13/cobol_analysis_db,public,metadata,idx_metadata_start_time,start_time,NO,NO,
172.16.0.13/cobol_analysis_db,public,single_analysis_master,single_analysis_master_pkey,analysis_id,YES,YES,
172.16.0.13/cobol_analysis_db,public,single_analysis_master,single_analysis_master_analysis_type_process_type_parameter_key,"analysis_type,process_type,parameter_name",NO,Constraint,
172.16.0.13/cobol_analysis_db,public,summary_analysis_master,summary_analysis_master_pkey,summary_id,YES,YES,
172.16.0.13/cobol_analysis_db,public,summary_analysis_master,summary_analysis_master_analysis_type_process_type_paramete_key,"analysis_type,process_type,parameter_name",NO,Constraint,

TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,CONSTRAINT_NAME,CONSTRAINT_TYPE,CONSTRAINT_CONTENTS
172.16.0.13/cobol_analysis_db,public,analysis_logs,2200_1308150_1_not_null,CHECK,log_id IS NOT NULL
172.16.0.13/cobol_analysis_db,public,analysis_logs,2200_1308150_4_not_null,CHECK,log_level IS NOT NULL
172.16.0.13/cobol_analysis_db,public,analysis_logs,2200_1308150_5_not_null,CHECK,component IS NOT NULL
172.16.0.13/cobol_analysis_db,public,analysis_logs,2200_1308150_6_not_null,CHECK,message IS NOT NULL
172.16.0.13/cobol_analysis_db,public,analysis_logs,analysis_logs_pkey,PRIMARY KEY,log_id
172.16.0.13/cobol_analysis_db,public,analysis_results,2200_1308170_1_not_null,CHECK,result_id IS NOT NULL
172.16.0.13/cobol_analysis_db,public,analysis_results,2200_1308170_4_not_null,CHECK,result_type IS NOT NULL
172.16.0.13/cobol_analysis_db,public,analysis_results,2200_1308170_5_not_null,CHECK,status IS NOT NULL
172.16.0.13/cobol_analysis_db,public,analysis_results,analysis_results_pkey,PRIMARY KEY,result_id
172.16.0.13/cobol_analysis_db,public,analysis_sources,2200_1308135_1_not_null,CHECK,source_id IS NOT NULL
172.16.0.13/cobol_analysis_db,public,analysis_sources,2200_1308135_3_not_null,CHECK,file_path IS NOT NULL
172.16.0.13/cobol_analysis_db,public,analysis_sources,2200_1308135_4_not_null,CHECK,file_type IS NOT NULL
172.16.0.13/cobol_analysis_db,public,analysis_sources,2200_1308135_5_not_null,CHECK,file_hash IS NOT NULL
172.16.0.13/cobol_analysis_db,public,analysis_sources,2200_1308135_6_not_null,CHECK,file_size IS NOT NULL
172.16.0.13/cobol_analysis_db,public,analysis_sources,analysis_sources_pkey,PRIMARY KEY,source_id
172.16.0.13/cobol_analysis_db,public,analysis_tasks,2200_1308124_11_not_null,CHECK,created_by IS NOT NULL
172.16.0.13/cobol_analysis_db,public,analysis_tasks,2200_1308124_1_not_null,CHECK,task_id IS NOT NULL
172.16.0.13/cobol_analysis_db,public,analysis_tasks,2200_1308124_2_not_null,CHECK,source_id IS NOT NULL
172.16.0.13/cobol_analysis_db,public,analysis_tasks,2200_1308124_3_not_null,CHECK,task_type IS NOT NULL
172.16.0.13/cobol_analysis_db,public,analysis_tasks,2200_1308124_4_not_null,CHECK,status IS NOT NULL
172.16.0.13/cobol_analysis_db,public,analysis_tasks,2200_1308124_6_not_null,CHECK,source_path IS NOT NULL
172.16.0.13/cobol_analysis_db,public,analysis_tasks,2200_1308124_7_not_null,CHECK,analysis_config IS NOT NULL
172.16.0.13/cobol_analysis_db,public,analysis_tasks,analysis_tasks_pkey,PRIMARY KEY,task_id
172.16.0.13/cobol_analysis_db,public,benchmark_master,2200_1308110_1_not_null,CHECK,benchmark_id IS NOT NULL
172.16.0.13/cobol_analysis_db,public,benchmark_master,2200_1308110_2_not_null,CHECK,category IS NOT NULL
172.16.0.13/cobol_analysis_db,public,benchmark_master,2200_1308110_3_not_null,CHECK,sub_category IS NOT NULL
172.16.0.13/cobol_analysis_db,public,benchmark_master,2200_1308110_4_not_null,CHECK,metric_name IS NOT NULL
172.16.0.13/cobol_analysis_db,public,benchmark_master,benchmark_master_pkey,PRIMARY KEY,benchmark_id
172.16.0.13/cobol_analysis_db,public,benchmark_master,benchmark_master_category_sub_category_metric_name_key,UNIQUE,"category,sub_category,metric_name"
172.16.0.13/cobol_analysis_db,public,dashboard_master,2200_1308081_1_not_null,CHECK,dashboard_id IS NOT NULL
172.16.0.13/cobol_analysis_db,public,dashboard_master,2200_1308081_2_not_null,CHECK,dashboard_type IS NOT NULL
172.16.0.13/cobol_analysis_db,public,dashboard_master,2200_1308081_3_not_null,CHECK,component_type IS NOT NULL
172.16.0.13/cobol_analysis_db,public,dashboard_master,2200_1308081_4_not_null,CHECK,parameter_name IS NOT NULL
172.16.0.13/cobol_analysis_db,public,dashboard_master,dashboard_master_pkey,PRIMARY KEY,dashboard_id
172.16.0.13/cobol_analysis_db,public,dashboard_master,dashboard_master_dashboard_type_component_type_parameter_na_key,UNIQUE,"dashboard_type,component_type,parameter_name"
172.16.0.13/cobol_analysis_db,public,document_master,2200_1308096_1_not_null,CHECK,document_id IS NOT NULL
172.16.0.13/cobol_analysis_db,public,document_master,2200_1308096_2_not_null,CHECK,document_type IS NOT NULL
172.16.0.13/cobol_analysis_db,public,document_master,2200_1308096_3_not_null,CHECK,section_type IS NOT NULL
172.16.0.13/cobol_analysis_db,public,document_master,2200_1308096_4_not_null,CHECK,parameter_name IS NOT NULL
172.16.0.13/cobol_analysis_db,public,document_master,document_master_pkey,PRIMARY KEY,document_id
172.16.0.13/cobol_analysis_db,public,document_master,document_master_document_type_section_type_parameter_name_key,UNIQUE,"document_type,section_type,parameter_name"
172.16.0.13/cobol_analysis_db,public,environment_master,2200_1308036_1_not_null,CHECK,environment_id IS NOT NULL
172.16.0.13/cobol_analysis_db,public,environment_master,2200_1308036_2_not_null,CHECK,category IS NOT NULL
